# MALHEUR (0.5.4) - Automatic Analysis of Malware Behavior
# Copyright (c) 2009-2012 Konrad Rieck (konrad@mlsec.org)
# University of Goettingen, Berlin Institute of Technology
# ---
# Prototypes for reference_mist.tar.gz
# Number of prototypes: 332
# Compression of prototypes: 10.6 %
# Precision of prototypes: 94.7 %
# ---
# <report> <prototype> <distance>
refset/44387d53933eb1e969000c27739d61e44d0a5102.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.298779
refset/443de52317dee4e7fc1563c2a76dfbd67349c194.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.232004
refset/44447dc0348d0b270ff54567f9c49db4863b4781.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4476c0b825b996a9ba81acaf9dca45ec4edffcff.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/447c18209bddf89ba0c03a3e7dc20c13f3c98835.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.303415
refset/44863ceeee687c76a192b0ada96239a7b49d9d5d.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.482709
refset/44adb52e0b6a4e7c21a6618f6b4128eb64dde3e4.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/44d2adaf7db6e4922d990b56f0409370a88215b9.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.144949
refset/44d648b1b0372b1b79eea9bb388c3b9e1d083329.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.304402
refset/44f54e1392b689e667d912643955ac063d425dfb.LOOPER refset/44f54e1392b689e667d912643955ac063d425dfb.LOOPER 0
refset/45035295c8901e33ffe5f98f290ef9d12883550e.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/450ba93c21b67334a8d819d72e32635b15dbc63a.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/451162f3cf93c45765ef0aaf1b4cb87140f0f7c6.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.351967
refset/45222b70fe7bdc70e938e8b6ff7096b7bd61f226.DORFDO refset/7c2bc7b2aefc0ca0709bcf763c7e4c4a2fb5cb35.ZHELATIN 0.532069
refset/45390797addf5c5e691c333be25b363833faac45.LOOPER refset/45390797addf5c5e691c333be25b363833faac45.LOOPER 0.000388425
refset/453eed0baef69143ecee92c7aa0d07d40ac64022.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.483531
refset/454902cdd7f69e1c5cea336bf1346cc7cfab4ca2.DORFDO refset/7c2bc7b2aefc0ca0709bcf763c7e4c4a2fb5cb35.ZHELATIN 0.521288
refset/45566983aa387ce3c6a5c51628281e73ec571029.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.318023
refset/456aebb1181b8fb726f8e6aeda5c9a248998d3ee.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/456eb98fdbc171885a9213433b27c73d8ac67a99.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.351632
refset/457ba5396036c17618f41122c3dfe0221bb627d8.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.223869
refset/45a43c4d943dee51fdc2df787358e42454e8735f.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/45a865455666102bb48395e7b8769ae843251032.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.248867
refset/45ddb63f3d44ace65f7a85d2a119c2949c60dec9.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.495663
refset/45eb689d2003cd3ee7d50048c7689415a1ca3fad.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/45f8bbc58eccb22c583dbc4d730cc834eff178d4.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.501066
refset/460267fbea2bd7810e7466c7c8bb4cdb593e20b3.VIKING_DLL refset/460267fbea2bd7810e7466c7c8bb4cdb593e20b3.VIKING_DLL 0.000341197
refset/460d0d2527264d88254f48f48a84653a41857026.SWIZZOR refset/1286bd69357710e7304d878b1647cc5af4b57e62.SWIZZOR 0.242024
refset/460e86e59cc7572d1f8708d71a5314e358059710.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.473552
refset/4656ec4ec5a34e0dee0f4ea402ac4f754deb3ac8.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.517537
refset/469c57978c14830f0ab685bf6db7c24d88a17af4.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/46ac9e314cfe6d989f98ea859c117e0418f2950c.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.134804
refset/46b224b04ef80d3668dd1147c63d8938fb2e3ae4.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.138675
refset/46c4f821b42e61fbf58ce27e195bd9765d1992d4.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.474331
refset/46daf5342b45a8c8c091a0fab6dbed5edbe10918.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.280483
refset/46fe0d78018e8d80256d550fe57930496bcfe42c.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.37041
refset/47618783812034748aa4aa899d428b0a38514048.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/476b90eb59e244630b491fb4c5b23ac922cd3395.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4777ff150c6f2ce9c19e27d80ecff40bb64cd4d0.LOOPER refset/4777ff150c6f2ce9c19e27d80ecff40bb64cd4d0.LOOPER 0.000411705
refset/47896f80ad137c43de3df4a1b2960157d66976c5.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.274811
refset/47d5676bee44fd81f265b0ef32689799bae9ecc7.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.319413
refset/47f9997ae63a3ec5663d025825e58940995df2d7.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.445092
refset/48050eeec4a569339dec532ca33e5286466e0017.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.360888
refset/482b49118a3acb42c49a8f72b0d5fb27c0ad7b13.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.51003
refset/48465154be344492d0c3625eae836fb915c76221.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.232004
refset/484ab39ff3b4f83f5c8518b955734b0a3d4f3a72.SALITY refset/0d15ceeb41649aa4d9a209082783fb26b1928bdc.SALITY 0.350202
refset/48541dc9eea0bc4ae5d5c81c234146968540d512.LOOPER refset/48541dc9eea0bc4ae5d5c81c234146968540d512.LOOPER 4.31584e-05
refset/48a5b15b940dae5d03951761e94f60bab5d6a248.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.000294301
refset/48ae8ea4b2b4fbb22ef0b65cf15264c3b1896c97.LOOPER refset/48ae8ea4b2b4fbb22ef0b65cf15264c3b1896c97.LOOPER 0
refset/48e35008a3eefa338fbbc6b8ca82eca783169c3c.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.280483
refset/48ff45a944cff2197a7b061af859898f18dbc423.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.491749
refset/4908be5c77e6833f0a132bfb383fe54cc30f3851.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/4918c4d17b7897595e4a67ff391bc3d3096483f9.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.282243
refset/492c9b8594fd76bd36e6f47a7512a2da1a6322e7.VIRUT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.460107
refset/492e0e3ec72d9d53a45bf1492ee30b09f127da83.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/49319c3eba3b63a8cafbfc7f2ab70d56e62a0b87.LOOPER refset/49319c3eba3b63a8cafbfc7f2ab70d56e62a0b87.LOOPER 0
refset/494f3fbb6f6d41d9275c43dabc5f04b95df04df7.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.149899
refset/496f96ffc1f014c9b32264a1d9f0450d00f193ee.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.498707
refset/4974d57da26d30a26e25de9c80f245bf4712331d.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/497917d561e578424713b6e7480d138e51f831b6.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.503235
refset/4999cf600d62f8a27872377e855fa622b8fe1964.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.149899
refset/49adcdc3c9c9357979db74da18c581bdfa725abe.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.26402
refset/49be5ffd50fcaa627fc1b3a160660c426c5105ca.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.302581
refset/49c542f19b7663ada83986f7a28122f05bd800e2.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4a1141fd6caef38739b9558344ef8a358d4fd6f2.VIKING_DLL refset/460267fbea2bd7810e7466c7c8bb4cdb593e20b3.VIKING_DLL 0.000341197
refset/4a1c783815cbb2e4442362f8b539c2c8f1e09e23.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.489112
refset/4a403ffd8544953459a9afaf838ce9f6699a3d2c.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.479996
refset/4a7286b985f535630b2f894e8e64d22ccf74757e.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.483972
refset/4a736e542d027641d31881df88c871fdc1c97776.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.481226
refset/4a80decba1868174cab76ea2c7442801a31ff250.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.51896
refset/4a8a2f984a3aa31b8698f4727ee2fd0f6bf24c5e.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/4aad7b8f00141b660081cdb31705272b32a1c145.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.317558
refset/4aba401320213628b45e6d87944f22876c0a5c2d.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4abbeea00f052c5671a5a4c462ab8cbe9bb62772.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/4b1a0325a26340f755cc8cff9cd14bbddbdd1353.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.146317
refset/4b384b29bdc363fae636c026b353a03969ac5a6f.SALITY refset/87b50849df0b9e6d4a0f2573925b94836550f0b1.SALITY 0.172138
refset/4b3aaf4b2299d2a6a77377d7fe7c443d3c447a04.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4b95eaf6a98028f9c6b7e3f3eb314f9384ee8a6e.SALITY refset/c4bd721e688ad33ec5899c0b446ce76cbe89505e.SALITY 0.48362
refset/4b99fe11ec6c644bec475f7fb27e5a87f10d2fe9.LOOPER refset/4b99fe11ec6c644bec475f7fb27e5a87f10d2fe9.LOOPER 0.000345267
refset/4bd8d713a9c71b45aa2bb76437232a823dca5fdd.LOOPER refset/4bd8d713a9c71b45aa2bb76437232a823dca5fdd.LOOPER 0
refset/4bdd5eef52f1288b5d598b844066fea73b60a48a.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.496703
refset/4bdf74691f24fd5b36da676917db01abc6e80431.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.511687
refset/4bffdee0d87ab4eb76ccdac6c578b217133c7b30.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.315473
refset/4c08360d5c553ec2a0a7738c328d5b13baa0a08c.SALITY refset/4c08360d5c553ec2a0a7738c328d5b13baa0a08c.SALITY 0.000498428
refset/4c129f6efebe9073a1cd785f229ee149ea846770.WOIKOINER refset/a98177333fd90d7708107322bc4ed99f33cc9d62.WOIKOINER 0.347529
refset/4c16b41539b312e0fae1c8e191af171621562344.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.126626
refset/4c2f81a16db7e6e3dee76846f0a4037197901ef1.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.495663
refset/4c3f3b000c2ef8056cdc9e683bdea1e7a2352a34.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.319678
refset/4c42c011eac6b7c2e396b94128152e46a333ec63.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.319941
refset/4c46512b3aa07c9b6588d160657e208f0fbb3c76.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/4c4fe6f449e03c0b00e3f1c84774e366d88bdb98.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.513763
refset/4c5225819ef859dc0a3482efa9402c35fb481dd1.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.498464
refset/4c5ab68f8817f3625327a1996011adb634792182.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.138746
refset/4c6170dbf28f4cf70875564aefb4a39f83d08a26.LOOPER refset/4c6170dbf28f4cf70875564aefb4a39f83d08a26.LOOPER 8.63167e-05
refset/4c7af3f3f9d3df2e62d8d836798e6cef434c48b6.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.342844
refset/4c7c71db86263dfea0a9d5bc578f98726551473e.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/4c7f3f2c6447c584b66af7c158f00c957d3b0023.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.493629
refset/4cb176734ac17b1f0560f6fb491784f888482ca6.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.300863
refset/4cb8d22e90727e6ee3c92629375c2f192100d8d4.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.130745
refset/4cbe5d22584bd3a52beebac9ca10c6d8cb0172c9.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.321495
refset/4cd70433a9565835099213407f5692645d44ddde.SALITY refset/73ccca1b7c5c6da2622b0a18bd5dd818eaa86b15.SALITY 0.339335
refset/4ced96e07756b851a0ea39f785cf5a6bb7a81d6a.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.128239
refset/4cef9756e43220ac3aaf99bcaae85c47f6f39b3c.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.342893
refset/4cf577263097bf12d2edb4c2dd9fc1344f47b33d.FLYSTUDIO refset/5a4d6209a2faec162befb11c8058cee0ba361968.FLYSTUDIO 0.532622
refset/4d0e2b1af8494445cb51286f545e7c75e6bae3a4.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.551648
refset/4d517aaeba7330c9eef5e0968af260ee0ac3a164.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.142965
refset/4d85b5f70602ce32fed1a89656c855f61c5b6fc0.LOOPER refset/4d85b5f70602ce32fed1a89656c855f61c5b6fc0.LOOPER 0
refset/4d93eb9c8c2732a8d64ec8ccbce0b77491df3232.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4d94821621406fe685569e197005052370746146.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.136845
refset/4d9aa1b02c5a4764ba78c0f650187fe576d848bc.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.280483
refset/4dba425ffdb75561822bb5d0d492018a1406bfcc.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.274811
refset/4df447fdc28d29b431b83ccbdd57cb2aa8fd3c2d.SALITY refset/73ccca1b7c5c6da2622b0a18bd5dd818eaa86b15.SALITY 0.219044
refset/4dfabf96a7217dbeeffacf6682890824c45472e1.VAPSUP refset/4dfabf96a7217dbeeffacf6682890824c45472e1.VAPSUP 0
refset/4e15db0a5c85ad7f3656f2463e481c1d8eeab011.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.495663
refset/4e37bfdef9043d1f1abf89aaec80de9ef633069c.MAGICCASINO refset/5717382026e3115e738e0b600ef74a74e9ea0599.MAGICCASINO 0.232004
refset/4e39103dbca0368e52d9b8670ea295df00bd6c92.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.136845
refset/4e4cf8b049af4a582ce594951a4978c552e1f858.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.363308
refset/4e7d895aaf3e4229174aca51fd3557ad7be0aa4f.VIKING_DLL refset/460267fbea2bd7810e7466c7c8bb4cdb593e20b3.VIKING_DLL 0.0564565
refset/4e8c29fd67f9ea94a16cc69e2a08f24421db3a0e.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.498271
refset/4eab380cdf555f82cd82db8247bdbe71f33e46d4.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4eae5eb7be498a44526c77a3c7529e4e28d8d37a.LOOPER refset/4eae5eb7be498a44526c77a3c7529e4e28d8d37a.LOOPER 4.31584e-05
refset/4eb1add8454a57a84f3db6b2a78284468038200d.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.136845
refset/4ec2bf3b75ee9edc96be2d3443b2cb3dfc16103f.VAPSUP refset/4ec2bf3b75ee9edc96be2d3443b2cb3dfc16103f.VAPSUP 0.000319343
refset/4ed578a310ccf57e5f9aa0478c5da426b3674bcd.LOOPER refset/4ed578a310ccf57e5f9aa0478c5da426b3674bcd.LOOPER 0
refset/4f271b6223fd3e9df6284c9b1787bd0debb09daf.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.305309
refset/4f2de3954e4d7cd6d67544e4d704b55ab25cdd67.DORFDO refset/7c2bc7b2aefc0ca0709bcf763c7e4c4a2fb5cb35.ZHELATIN 0.515313
refset/4f36360cdd41e3788abc15a6be3d3f97a865f19b.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4f3c5b159cd11eb92531f81fbd33d985211d1470.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4f45be5dbf30d7aeff7e1ba45dc00ea32b3964d8.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4f53dfd935b064bf3a7e008eaf38179d196003f9.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.142965
refset/4f6de64bef7c48fb2ff31afadd7d06b89f42f43a.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.306836
refset/4f80575c32adbbeb2fcc834816a3bb26af88861e.PORNDIALER refset/0510f72899c1499022bf235bde1ce51201b36d72.PORNDIALER 0.0763609
refset/4f95cd1bb421cb016eddfd443194f12874270021.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/4fa4f20b1fc220e7f91fafcac765f12367a0f5ca.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.142965
refset/4fd2d046b8487fdb4a31d1bc86615f02060158b7.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.446428
refset/4fdf761a78abe8e1e3fd46b8f14be2db0fa31974.SALITY refset/4fdf761a78abe8e1e3fd46b8f14be2db0fa31974.SALITY 0
refset/500c41efe70864413f48901164d7750cf9ff3282.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.319678
refset/501958a992bdda6fd9f7033e61e910a85911f4d8.RBOT refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.491749
refset/501c740a179c5819797c966833a4edc91a412377.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/5035114bd7913528c933e5796d3093e925b10cff.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/50a3a6b5fec1c0d6641e6510ff3951e625a5640a.ROTATOR refset/0a55c0c00f005ff80f20f2c10132fddf6afc397f.ROTATOR 0.330228
refset/50b9fee2a38f48d74a2326252696cf0b9c00320b.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.329461
refset/50bd6ed8f783f82fb3b3eaf6252885983c1bdd66.LOOPER refset/50bd6ed8f783f82fb3b3eaf6252885983c1bdd66.LOOPER 0.000164342
refset/50daa3c6ee92b5620a37ff61378630dcd267ddcb.ROTATOR refset/0a55c0c00f005ff80f20f2c10132fddf6afc397f.ROTATOR 0.319231
refset/50e28dbfef41e8091f543318af66a9ffe95c17d8.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.329972
refset/50edb02c3de5427e9a76411de1f979a5f8d6ba86.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.311653
refset/5126b0cf04be2bc62fce0e44441e0529f76c25bd.VIRUT refset/05f0e8543ad7304d54fe11e614b826fc5e744db2.VIRUT 0.531908
refset/51275350484b18e2bd7e6f01cb9f6dd4ac7e7c8d.ZHELATIN refset/51275350484b18e2bd7e6f01cb9f6dd4ac7e7c8d.ZHELATIN 0
refset/512891958f3897e184f2e3b2b0474738c39ff9db.CASINO refset/0058780b175c3ce5e244f595951f611b8a24bee2.CASINO 0.351632
refset/513f8678044405198169ae8a2bd8584c174ed21a.LOOPER refset/513f8678044405198169ae8a2bd8584c174ed21a.LOOPER 0
refset/5141777335e1506bd63ebe672d4c80bdc46e066b.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.311653
refset/515b78781375ecf652194166a2340ddae9547c8e.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.487304
refset/516409696f0fcfc26bf64f01c6f49507ba606fac.LOOPER refset/516409696f0fcfc26bf64f01c6f49507ba606fac.LOOPER 0
refset/51673538d47eb1767830f021ddb0fb1c4b34457b.ALLAPLE refset/135ab6d4fde54c928181819f67d2838aa9eeef57.ALLAPLE 0.324426
refset/51b802adba14675c777f55a099d3eb5693d6d68a.ROTATOR refset/bda76bba4da7feca4c8332033e56405ac67a6c1b.ROTATOR 0.503867
refset/51baa125aa4c217bb4176444b913f492622f387d.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.142581
refset/51c493666ef061b001d4a6ded27674b0e0a6c7fc.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.140955
refset/51d3cd4cdc2977a52adde44f65d25ade206a0bfb.SPYGAMES refset/d3988e4e2727c4dd37f68d0c3035203faf3e57f8.SPYGAMES 0.248867
refset/51e4671690abab4a9a298645e737a1e3368c842b.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/51f2ef3fa6cfc5eba6c9df01cfe9a8e2eb2b36ca.ROTATOR refset/3f02115c6793d94d8bfb5f23a0b1ea72f4257fc2.ROTATOR 0.477884
refset/51fcc7d7724bff4c7a74cb26e3fd861489d69def.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/52053c3c192f28b06380556c068940cc92e3ac55.VIKING_DLL refset/422c7f0655a7ceff4860b7031efc48dfa4198098.VIKING_DLL 0.138915
refset/521ddc3f53af734d97f9ba4fcf7f96178b913c50.LOOPER refset/521ddc3f53af734d97f9ba4fcf7f96178b913c50.LOOPER 0.000345267
refset/522a88ae9e579dcc97e656f8f6be659dabddfbee.SALITY refset/522a88ae9e579dcc97e656f8f6be659dabddfbee.SALITY 0
refset/523d0691570922febb25ba988beeeb1fdbb36b9f.LOOPER refset/523d0691570922febb25ba988beeeb1fdbb36b9f.LOOPER 0
refset/524e5bceb41f9a7fcc572e7c5a0b479de175e21c.PODNUHA refset/39cd410ca6955649b7e0e096ae6b000278501332.PODNUHA 0.327906
refset/52512463c9ba5c44d7605bc6a75ef913e8bb0ef1.LOOPER refset/52512463c9ba5c44d7605bc6a75ef913e8bb0ef1.LOOPER 0.000343916
refset/526a54df034a1f624cc3d06916b06f43043f3f3a.ADULTBROWSER refset/b9c47d6e5247dd629325ce23bc9f4afd9b988ca3.ADULTBROWSER 0.149899
refset/5278870eb166d2cf17fa894b98da45a5447243e6.VAPSUP refset/43d3915ba9f83148fa321e75566aa0b4c79bec65.VAPSUP 0.364295
refset/5288ecc6257cb57f3b42783533c0d8923f28a9d9.LDPINCH refset/02327e2a1f09f5da235cb09257a0650c95226058.LDPINCH 0
refset/529b098130c39158870ab08b364612f4deb6d7a2.SWIZZOR refset/078dc557bb1c8fbfb88dec6802b8c47537c2dc05.SWIZZOR 0.306059
refset/52a10a56dc4403afe77d08c1ad0ecb1c0651c9e3.EJIK refset/55ad492e7ba654cbf6f6908ec1ef2a36dc552085.EJIK 0.463212
refset/52a7796b75823fa7a479fb2b2a5c32ee8ba400d4.DORFDO refset/7c2bc7b2aefc0ca0709bcf763c7e4c4a2fb5cb35.ZHELATIN 0.5378
refset/52bdc15e16cf00197ab263da1e084d577ac89fc5.LOOPER refset/52bdc15e16cf00197ab263da1e084d577ac89fc5.LOOPER 0.000271246
